Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sedalia,US,38.7045,-93.2283,80.33,67,5,10.0,clear sky
1,Atuona,PF,-9.8,-139.0333,77.56,72,10,15.77,clear sky
2,Iqaluit,CA,63.7506,-68.5145,44.33,93,100,2.3,light rain
3,Rikitea,PF,-23.1203,-134.9692,70.25,60,79,17.76,broken clouds
4,Tiksi,RU,71.6872,128.8694,41.4,81,100,13.2,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,57.18,83,71,10.25,broken clouds
6,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,broken clouds
7,Busselton,AU,-33.65,115.3333,58.89,62,99,14.18,light rain
8,Tasiilaq,GL,65.6145,-37.6368,37.69,73,97,3.18,overcast clouds
9,Qaanaaq,GL,77.484,-69.3632,36.07,64,31,4.05,scattered clouds
10,Evinayong,GQ,1.4368,10.5512,66.54,95,100,2.46,overcast clouds
11,Victoria,HK,22.2855,114.1577,89.96,86,75,5.01,light rain
12,Airai,TL,-8.9266,125.4092,75.69,50,42,3.87,scattered clouds
13,Hermanus,ZA,-34.4187,19.2345,53.8,82,98,10.67,overcast clouds
14,Muyezerskiy,RU,63.9333,31.65,68.65,61,99,11.07,overcast clouds
15,Khatanga,RU,71.9667,102.5,69.46,55,33,8.7,light rain
16,Beringovskiy,RU,63.05,179.3167,53.17,75,84,11.07,broken clouds
17,Bluff,NZ,-46.6,168.3333,57.79,72,32,12.77,light rain
18,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,4.61,clear sky
19,Cape Town,ZA,-33.9258,18.4232,55.9,90,20,12.66,few clouds
20,Albany,US,42.6001,-73.9662,74.03,90,79,2.95,broken clouds
21,Bilibino,RU,68.0546,166.4372,52.29,54,95,11.12,overcast clouds
22,Norman Wells,CA,65.282,-126.8329,75.24,43,75,9.22,broken clouds
23,Alofi,NU,-19.0595,-169.9187,76.89,78,100,12.66,overcast clouds
24,La Seyne-Sur-Mer,FR,43.0982,5.8847,79.88,64,26,3.83,scattered clouds
25,Mahibadhoo,MV,3.7833,72.9667,82.29,77,100,15.86,overcast clouds
26,Kaduqli,SD,11.0167,29.7167,73.92,88,100,3.58,light rain
27,Oga,IT,46.4631,10.347,59.81,87,46,5.03,scattered clouds
28,Little Current,CA,45.9793,-81.9248,63.64,74,0,4.7,clear sky
29,Russellville,US,35.2784,-93.1338,81.18,62,31,2.48,scattered clouds
30,Daura,NG,11.5538,11.4085,72.01,86,82,7.07,broken clouds
31,Lebu,CL,-37.6167,-73.65,50.23,91,100,2.21,overcast clouds
32,Hobart,AU,-42.8794,147.3294,48.06,78,75,16.11,broken clouds
33,Esperance,AU,-33.8667,121.9,58.57,51,43,10.33,scattered clouds
34,Saint-Philippe,RE,-21.3585,55.7679,69.39,64,7,9.69,clear sky
35,Teknaf,BD,20.8624,92.3058,86.95,71,96,11.86,overcast clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,70.56,93,77,8.01,broken clouds
37,New Norfolk,AU,-42.7826,147.0587,47.71,69,66,1.99,broken clouds
38,Hilo,US,19.7297,-155.09,79.29,97,57,5.01,broken clouds
