City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sedalia,US,80.33,clear sky,38.7045,-93.2283,
1,Atuona,PF,77.56,clear sky,-9.8,-139.0333,
3,Rikitea,PF,70.25,broken clouds,-23.1203,-134.9692,
6,Vaini,TO,78.96,broken clouds,-21.2,-175.2,
11,Victoria,HK,89.96,light rain,22.2855,114.1577,
12,Airai,TL,75.69,scattered clouds,-8.9266,125.4092,
20,Albany,US,74.03,broken clouds,42.6001,-73.9662,
22,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,
23,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,
24,La Seyne-Sur-Mer,FR,79.88,scattered clouds,43.0982,5.8847,
25,Mahibadhoo,MV,82.29,overcast clouds,3.7833,72.9667,
26,Kaduqli,SD,73.92,light rain,11.0167,29.7167,
29,Russellville,US,81.18,scattered clouds,35.2784,-93.1338,
30,Daura,NG,72.01,broken clouds,11.5538,11.4085,
35,Teknaf,BD,86.95,overcast clouds,20.8624,92.3058,
36,Puerto Ayora,EC,70.56,broken clouds,-0.7393,-90.3518,
38,Hilo,US,79.29,broken clouds,19.7297,-155.09,
41,Broome,US,72.01,overcast clouds,42.2506,-75.833,
42,Thai Binh,VN,82.0,moderate rain,20.45,106.3333,
46,Awbari,LY,83.5,scattered clouds,26.5921,12.7805,
47,Kolosovka,RU,73.45,scattered clouds,56.4678,73.611,
50,Bekovo,RU,74.05,scattered clouds,52.4663,43.712,
53,Bac Lieu,VN,80.71,overcast clouds,9.285,105.7244,
54,Kapaa,US,77.11,few clouds,22.0752,-159.319,
56,Harnai,PK,86.16,scattered clouds,30.1005,67.9374,
57,Butaritari,KI,82.78,overcast clouds,3.0707,172.7902,
60,Price,US,78.12,broken clouds,39.5994,-110.8107,
62,Harper,LR,73.94,broken clouds,4.375,-7.7169,
63,Salinopolis,BR,77.76,clear sky,-0.6136,-47.3561,
65,Nikolskoye,RU,72.81,broken clouds,59.7035,30.7861,
67,Bathsheba,BB,81.05,broken clouds,13.2167,-59.5167,
68,Hambantota,LK,84.54,overcast clouds,6.1241,81.1185,
69,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,
70,Shenjiamen,CN,86.81,clear sky,29.9576,122.298,
71,Georgetown,MY,89.53,few clouds,5.4112,100.3354,
72,Faanui,PF,77.14,moderate rain,-16.4833,-151.75,
76,Zhangjiakou,CN,94.46,broken clouds,40.81,114.8794,
78,Kon Tum,VN,76.77,overcast clouds,14.35,108.0,
80,Bengkulu,ID,83.39,clear sky,-3.8004,102.2655,
81,Hamilton,US,75.0,mist,39.1834,-84.5333,
82,Kawalu,ID,86.49,overcast clouds,-7.3817,108.2082,
84,Laurel,US,74.7,overcast clouds,39.0993,-76.8483,
85,Mareeba,AU,89.44,broken clouds,-17.0,145.4333,
87,Mount Isa,AU,78.57,scattered clouds,-20.7333,139.5,
88,Puerto Carreno,CO,75.33,overcast clouds,6.189,-67.4859,
89,Ribeira Grande,PT,75.27,overcast clouds,38.5167,-28.7,
92,Jamestown,US,71.71,clear sky,42.097,-79.2353,
93,Dwarka,IN,82.76,overcast clouds,22.2394,68.9678,
94,Kavieng,PG,83.66,broken clouds,-2.5744,150.7967,
101,Adrar,MR,91.15,scattered clouds,20.5022,-10.0711,
102,Bambous Virieux,MU,73.22,clear sky,-20.3428,57.7575,
104,Azuaga,ES,70.97,clear sky,38.2667,-5.6833,
105,Hithadhoo,MV,82.4,broken clouds,-0.6,73.0833,
106,Dingle,PH,84.99,overcast clouds,10.9995,122.6711,
108,Honiara,SB,83.26,overcast clouds,-9.4333,159.95,
109,Mae Sai,TH,80.31,overcast clouds,20.4335,99.8762,
111,Luwuk,ID,77.11,overcast clouds,-0.9516,122.7875,
113,Ahar,IR,72.68,clear sky,38.4774,47.0699,
114,Faridpur,BD,80.28,light rain,23.6,89.8333,
115,Grebanu,RO,74.71,clear sky,45.3833,26.9667,
117,Sao Jose Da Coroa Grande,BR,72.57,scattered clouds,-8.8978,-35.1478,
120,Souillac,MU,71.56,clear sky,-20.5167,57.5167,
126,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,
128,Baglung,NP,80.56,overcast clouds,28.2719,83.5898,
130,Lamin,GM,77.04,overcast clouds,13.3522,-16.4339,
131,Port Moresby,PG,82.44,overcast clouds,-9.4431,147.1797,
133,Ranong,TH,84.07,overcast clouds,9.9658,98.6348,
136,Sao Filipe,CV,77.25,overcast clouds,14.8961,-24.4956,
137,Latehar,IN,90.45,overcast clouds,23.75,84.5,
138,Shimoda,JP,78.1,overcast clouds,34.6667,138.95,
139,Tual,ID,77.61,overcast clouds,-5.6667,132.75,
140,Syracuse,IT,70.97,clear sky,37.0881,15.2792,
142,Mutis,CO,76.62,light rain,6.2262,-77.4044,
143,Damietta,EG,79.92,clear sky,31.4165,31.8133,
145,Luganville,VU,80.98,broken clouds,-15.5333,167.1667,
147,Forli,IT,79.63,clear sky,44.2236,12.0528,
150,Lintangan,PH,84.54,broken clouds,7.2155,121.952,
151,Canico,PT,71.71,broken clouds,32.6333,-16.85,
152,Qandala,SO,89.82,few clouds,11.472,49.8728,
153,Buluang,PH,77.74,light rain,13.3068,123.3425,
155,Magomeni,TZ,71.87,few clouds,-6.8,39.25,
157,Clemencia,CO,78.94,overcast clouds,10.5665,-75.325,
158,Oeiras Do Para,BR,73.6,scattered clouds,-2.0031,-49.8544,
160,Takoradi,GH,71.58,few clouds,4.8845,-1.7554,
161,Canaway,PH,77.63,overcast clouds,13.3185,123.7131,
162,Carutapera,BR,75.45,clear sky,-1.195,-46.02,
165,Paveh,IR,89.76,clear sky,35.0434,46.3565,
167,Ponta Do Sol,PT,71.71,few clouds,32.6667,-17.1,
172,Gizo,SB,83.82,light rain,-8.103,156.8419,
176,Nicoya,CR,73.83,overcast clouds,10.1483,-85.452,
177,Itoman,JP,89.62,broken clouds,26.1247,127.6694,
179,San Antonio,US,85.26,clear sky,29.4241,-98.4936,
181,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,
187,Namatanai,PG,84.81,overcast clouds,-3.6667,152.4333,
188,Russell,US,79.02,overcast clouds,32.3502,-85.1999,
190,Waingapu,ID,81.95,overcast clouds,-9.6567,120.2641,
191,Le Port,RE,73.36,scattered clouds,-20.9373,55.2919,
192,Saint Anthony,US,80.38,clear sky,45.0205,-93.218,
194,Baijiantan,CN,91.9,broken clouds,45.6333,85.1833,
196,Bandarbeyla,SO,81.37,broken clouds,9.4942,50.8122,
